"CODE","DAY","CCY","PRECLOSE","OPEN","HIGH","LOW","CLOSE","CHANGE","PCTCHANGE","VOLUME","AMOUNT","ADJPRECLOSE","ADJOPEN","ADJHIGH","ADJLOW","ADJCLOSE","ADJFACTOR","AVGPRICE","TRADESTATUS","TRADESTATUSCODE","LIMIT","STOPPING","PRESETTLE","SETTLE","OI","FS_INFO_TYPE","OPDATE","SOURCE","OICHANGE","DIRTYPRICE","NETPRICE","NAV","ADJNAV","NAV_ADJFACTOR","ROOT","BID","ASK","MID","FIRST_NOTICE_DAY","LAST_TRADING_DAY","PREHALFH_AVG_PRICE","ADJ_FACTOR_NET","ADJ_CLOSE_NET","DELTA","GAMMA","VEGA","THETA","RHO"
IM2612.CFE,"2026-06-25",,,8240,8303.2,8176,8271.2,37,,23977,3955664.156,,,,,,,,,,,,8234.2,8266.2,94628,"2",2026-06-28 17:30:36,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-26",,,8243.4,8243.4,8008.8,8066,-200.2,,28278,4587830.576,,,,,,,,,,,,8266.2,8067.8,97251,"2",2026-06-29 17:30:39,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-29",,,8066,8132,7897,8051,-16.8,,28693,4597455.612,,,,,,,,,,,,8067.8,8029.8,98075,"2",2026-07-02 17:30:57,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-06-30",,,8051,8254,8014.4,8240,210.2,,24463,3988895.32,,,,,,,,,,,,8029.8,8219.6,96669,"2",2026-07-03 17:31:00,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-07-01",,,8245.8,8350,8208,8248,28.4,,30604,5074187.144,,,,,,,,,,,,8219.6,8253.2,99206,"2",2026-07-04 17:30:45,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-07-02",,,8185,8285.2,8085,8109.6,-143.6,,32353,5297076.852,,,,,,,,,,,,8253.2,8131,98861,"2",2026-07-05 17:30:35,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-07-03",,,8130.2,8208,8080.8,8113.4,-17.6,,24371,3967963.656,,,,,,,,,,,,8131,8138.6,98496,"2",2026-07-06 17:30:44,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-07-06",,,8154.8,8156.4,7960,8013.8,-124.8,,26467,4254970.792,,,,,,,,,,,,8138.6,7998.2,101841,"2",2026-07-09 17:30:58,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-07-07",,,7984.8,8021.4,7825.2,7870.6,-127.6,,30018,4744303.532,,,,,,,,,,,,7998.2,7857.2,103243,"2",2026-07-10 17:30:54,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
IM2612.CFE,"2026-07-08",,,7900,7905,7731.2,7740.2,-117,,30533,4757057.144,,,,,,,,,,,,7857.2,7762.6,104939,"2",2026-07-11 17:30:45,CINDEXFUTURESEODPRICES,,,,,,,IM,,,,,,,,,,,,,
